,Time_Stamp,Present_Signals,Number_of_People
251,1900-01-01 20:55:00,587,5
252,1900-01-01 21:00:00,577,109
253,1900-01-01 21:05:00,588,109
254,1900-01-01 21:10:00,574,109
255,1900-01-01 21:15:00,589,109
256,1900-01-01 21:20:00,587,109
257,1900-01-01 21:25:00,574,109
258,1900-01-01 21:30:00,577,109
259,1900-01-01 21:35:00,576,109
260,1900-01-01 21:40:00,575,109
261,1900-01-01 21:45:00,558,109
262,1900-01-01 21:50:00,547,109
263,1900-01-01 21:55:00,541,0
264,1900-01-01 22:00:00,534,0
265,1900-01-01 22:05:00,532,0
266,1900-01-01 22:10:00,537,0
267,1900-01-01 22:15:00,511,0
268,1900-01-01 22:20:00,497,0
269,1900-01-01 22:25:00,487,0
270,1900-01-01 22:30:00,487,0
271,1900-01-01 22:35:00,478,0
272,1900-01-01 22:40:00,462,0
273,1900-01-01 22:45:00,465,0
274,1900-01-01 22:50:00,474,0
275,1900-01-01 22:55:00,459,0
276,1900-01-01 23:00:00,465,0
277,1900-01-01 23:05:00,453,0
278,1900-01-01 23:10:00,439,0
279,1900-01-01 23:15:00,420,0
280,1900-01-01 23:20:00,421,0
281,1900-01-01 23:25:00,372,0
282,1900-01-01 23:30:00,368,0
283,1900-01-01 23:35:00,347,0
284,1900-01-01 23:40:00,332,0
285,1900-01-01 23:45:00,324,0
286,1900-01-01 23:50:00,324,0
287,1900-01-01 23:55:00,305,0
