	start_time	end_time	dayOfWeek	size
1629	11.0	11.833333333333334	F      	33
1630	13.0	13.833333333333334	Tu      	22
1631	11.0	11.833333333333334	W      	25
1632	13.0	13.833333333333334	W      	27
1633	14.0	14.833333333333334	W      	26
1634	17.0	17.833333333333332	Th      	30
1635	16.0	16.833333333333332	Th      	25
1636	9.0	9.833333333333334	F      	30
1637	9.0	9.833333333333334	Tu      	9
1638	10.0	10.833333333333334	Tu      	25
1639	9.0	9.833333333333334	W      	23
1640	12.0	12.833333333333334	Th      	24
1641	15.5	16.833333333333332	TuTh     	263
1642	12.5	13.833333333333334	TuTh     	302
1643	9.5	10.833333333333334	TuTh     	321
1644	17.0	19.833333333333332	Th      	176
1645	17.0	19.833333333333332	W      	123
1646	14.0	15.333333333333334	TuTh     	251
1647	17.0	19.833333333333332	M      	116
1648	17.0	19.833333333333332	W      	157
1649	10.0	10.833333333333334	MWF    	87
1650	12.5	13.833333333333334	TuTh     	88
1651	14.0	14.833333333333334	MWF    	73
1652	17.0	19.833333333333332	W      	221
1653	17.0	18.333333333333332	TuTh     	165
1654	9.5	10.833333333333334	TuTh     	98
1655	18.0	20.833333333333332	M      	151
1656	18.5	19.833333333333332	TuTh     	152
1657	14.0	15.333333333333334	TuTh     	24
1658	17.0	19.833333333333332	W      	26
1659	15.0	15.833333333333334	MWF    	13
1660	11.0	12.333333333333334	TuTh     	36
1661	13.0	13.833333333333334	M      	17
1662	16.0	16.833333333333332	W      	21
1663	17.0	17.833333333333332	W      	20
1664	18.0	18.833333333333332	W      	17
1665	14.0	14.833333333333334	F      	20
1666	9.0	9.833333333333334	F      	12
1667	10.0	10.833333333333334	F      	4
1668	15.5	16.833333333333332	Tu      	20
1669	17.0	17.833333333333332	M      	31
1670	15.0	15.833333333333334	W      	31
1671	16.0	16.833333333333332	W      	31
1672	12.0	12.833333333333334	M      	27
1673	9.0	9.833333333333334	Th      	25
1674	10.0	10.833333333333334	Th      	29
1675	12.0	12.833333333333334	M      	21
1676	16.0	16.833333333333332	W      	23
1677	17.0	17.833333333333332	W      	26
1678	11.0	12.833333333333334	Th      	16
1679	14.0	14.833333333333334	M      	20
1680	15.0	15.833333333333334	M      	21
1681	9.0	9.833333333333334	F      	21
1682	10.0	10.833333333333334	F      	24
1683	15.0	15.833333333333334	Th      	21
1684	16.0	16.833333333333332	Th      	9
1685	10.0	10.833333333333334	MWF    	8
1686	13.0	15.833333333333334	M      	25
1687	14.0	16.333333333333332	Th      	8
1688	14.0	16.833333333333332	Tu      	8
1689	12.5	13.833333333333334	TuTh     	106
1690	16.0	16.833333333333332	MWF    	13
1691	12.0	12.833333333333334	MWF    	32
1692	17.0	18.333333333333332	TuTh     	10
1693	15.5	16.833333333333332	TuTh     	69
