,Time_Stamp,Number_of_People
184,1900-01-01 15:20:00,17.0
185,1900-01-01 15:25:00,6.0
186,1900-01-01 15:30:00,60.5
187,1900-01-01 15:35:00,66.5
188,1900-01-01 15:40:00,70.0
189,1900-01-01 15:45:00,16.5
190,1900-01-01 15:50:00,33.0
191,1900-01-01 15:55:00,47.00000000000001
192,1900-01-01 16:00:00,108.5
193,1900-01-01 16:05:00,166.0
194,1900-01-01 16:10:00,161.0
195,1900-01-01 16:15:00,50.0
196,1900-01-01 16:20:00,23.0
197,1900-01-01 16:25:00,18.0
198,1900-01-01 16:30:00,204.0
199,1900-01-01 16:35:00,261.0
200,1900-01-01 16:40:00,462.5
201,1900-01-01 16:45:00,172.0
202,1900-01-01 16:50:00,52.5
203,1900-01-01 16:55:00,92.0
204,1900-01-01 17:00:00,88.0
205,1900-01-01 17:05:00,39.0
206,1900-01-01 17:10:00,44.0
207,1900-01-01 17:15:00,20.0
208,1900-01-01 17:20:00,6.5
209,1900-01-01 17:25:00,7.5
210,1900-01-01 17:30:00,81.5
211,1900-01-01 17:35:00,102.0
212,1900-01-01 17:40:00,35.5
213,1900-01-01 17:45:00,189.0
214,1900-01-01 17:50:00,95.5
215,1900-01-01 17:55:00,32.5
216,1900-01-01 18:00:00,17.0
217,1900-01-01 18:05:00,29.0
218,1900-01-01 18:10:00,54.5
219,1900-01-01 18:15:00,75.0
220,1900-01-01 18:20:00,90.0
221,1900-01-01 18:25:00,100.0
222,1900-01-01 18:30:00,42.5
223,1900-01-01 18:35:00,108.5
224,1900-01-01 18:40:00,95.5
225,1900-01-01 18:45:00,15.5
226,1900-01-01 18:50:00,40.0
227,1900-01-01 18:55:00,31.0
228,1900-01-01 19:00:00,106.5
229,1900-01-01 19:05:00,120.0
230,1900-01-01 19:10:00,122.0
231,1900-01-01 19:15:00,101.0
232,1900-01-01 19:20:00,80.0
233,1900-01-01 19:25:00,96.5
234,1900-01-01 19:30:00,175.0
235,1900-01-01 19:35:00,190.0
236,1900-01-01 19:40:00,217.5
237,1900-01-01 19:45:00,148.0
238,1900-01-01 19:50:00,155.5
239,1900-01-01 19:55:00,102.5
240,1900-01-01 20:00:00,170.0
241,1900-01-01 20:05:00,194.5
242,1900-01-01 20:10:00,167.5
243,1900-01-01 20:15:00,243.5
244,1900-01-01 20:20:00,275.5
245,1900-01-01 20:25:00,250.0
246,1900-01-01 20:30:00,179.0
247,1900-01-01 20:35:00,152.5
248,1900-01-01 20:40:00,152.5
249,1900-01-01 20:45:00,178.0
250,1900-01-01 20:50:00,151.5
251,1900-01-01 20:55:00,111.0
252,1900-01-01 21:00:00,176.5
253,1900-01-01 21:05:00,186.0
254,1900-01-01 21:10:00,166.0
255,1900-01-01 21:15:00,191.0
256,1900-01-01 21:20:00,61.5
257,1900-01-01 21:25:00,64.5
258,1900-01-01 21:30:00,100.0
259,1900-01-01 21:35:00,114.0
260,1900-01-01 21:40:00,185.5
261,1900-01-01 21:45:00,155.0
262,1900-01-01 21:50:00,32.5
263,1900-01-01 21:55:00,20.5
264,1900-01-01 22:00:00,20.0
265,1900-01-01 22:05:00,20.500000000000004
266,1900-01-01 22:10:00,31.0
267,1900-01-01 22:15:00,42.0
268,1900-01-01 22:20:00,42.0
269,1900-01-01 22:25:00,52.5
270,1900-01-01 22:30:00,50.0
271,1900-01-01 22:35:00,37.5
272,1900-01-01 22:40:00,35.0
273,1900-01-01 22:45:00,55.0
274,1900-01-01 22:50:00,52.5
275,1900-01-01 22:55:00,23.0
276,1900-01-01 23:00:00,14.5
277,1900-01-01 23:05:00,17.500000000000004
278,1900-01-01 23:10:00,47.5
279,1900-01-01 23:15:00,204.0
280,1900-01-01 23:20:00,170.0
281,1900-01-01 23:25:00,160.0
282,1900-01-01 23:30:00,97.5
283,1900-01-01 23:35:00,53.5
284,1900-01-01 23:40:00,42.5
285,1900-01-01 23:45:00,115.0
286,1900-01-01 23:50:00,98.0
287,1900-01-01 23:55:00,84.0
